Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049995	3.626087	3.078171	15.289231	25.020000	
0.049978	2.773540	2.431432	30.943846	37.480000	
0.049951	2.341183	2.056193	39.928462	46.580000	
0.049912	2.054138	1.880375	46.539231	51.020000	
0.049863	1.862243	1.637738	50.857692	56.680000	
0.049803	1.713685	1.554397	54.564615	58.100000	
0.049732	1.594380	1.426698	57.457692	62.040000	
0.049650	1.512449	1.369551	59.443077	62.960000	
0.049557	1.435366	1.308215	61.293077	64.560000	
0.049454	1.380177	1.265198	62.556923	65.200000	
0.049340	1.331418	1.258527	63.938462	65.020000	
0.049215	1.289694	1.157081	64.892308	68.440000	
0.049079	1.256241	1.154209	65.784615	67.900000	
0.048933	1.226676	1.140408	66.477692	68.860000	
0.048777	1.193603	1.119556	67.236154	69.260000	
0.048610	1.173928	1.079938	67.718462	70.540000	
0.048432	1.153360	1.061750	68.146923	69.800000	
0.048245	1.135965	1.071267	68.806154	70.860000	
0.048047	1.117697	1.071152	69.331538	71.480000	
0.047839	1.107284	1.002266	69.553077	72.400000	
0.047621	1.091110	1.011662	69.815385	72.340000	
0.047393	1.081858	0.989285	70.139231	72.640000	
0.047155	1.066879	1.019691	70.600769	71.800000	
0.046908	1.070122	1.027192	70.313077	71.580000	
0.046651	1.047216	0.999999	70.882308	71.840000	
0.046384	1.039908	1.025914	71.146923	71.480000	
0.046108	1.035340	0.969219	71.186154	73.360000	
0.045823	1.029196	0.966474	71.489231	73.980000	
0.045529	1.016345	0.979305	71.706154	73.780000	
0.045226	1.009778	0.969820	71.939231	73.780000	
0.044914	1.002833	0.975441	72.043077	72.820000	
0.044593	0.992732	0.971434	72.464615	72.680000	
0.044263	0.993201	0.967916	72.220769	73.820000	
0.043925	0.984296	0.944009	72.721538	73.560000	
0.043579	0.981651	0.946701	72.590769	74.340000	
0.043225	0.974079	0.949738	72.710000	73.760000	
0.042862	0.967176	0.947830	73.028462	73.720000	
0.042492	0.967256	0.921001	72.979231	74.480000	
0.042114	0.958387	0.922702	73.197692	74.200000	
0.041729	0.957585	0.925772	73.136923	74.600000	
0.041336	0.947915	0.917240	73.523077	74.600000	
0.040936	0.942415	0.876667	73.628462	75.780000	
0.040529	0.941380	0.893045	73.716154	75.360000	
0.040115	0.932190	0.901403	73.779231	74.980000	
0.039695	0.925768	0.900283	74.086154	75.300000	
0.039268	0.913861	0.873636	74.425385	75.700000	
0.038835	0.915251	0.862746	74.323077	76.300000	
0.038396	0.908219	0.907440	74.563846	74.660000	
0.037951	0.904656	0.908035	74.736154	75.120000	
0.037500	0.899523	0.865089	74.846923	76.620000	
0.037044	0.888242	0.868110	75.112308	76.640000	
0.036583	0.889110	0.878281	74.987692	75.620000	
0.036116	0.887086	0.876653	75.113077	76.520000	
0.035645	0.874556	0.848739	75.432308	75.600000	
0.035169	0.875513	0.863440	75.348462	76.380000	
0.034688	0.863544	0.867977	75.556923	74.880000	
0.034204	0.860344	0.857259	75.771538	76.820000	
0.033715	0.855064	0.826009	75.829231	77.480000	
0.033222	0.848442	0.870866	76.043846	76.240000	
0.032726	0.840911	0.846301	76.172308	76.400000	
0.032226	0.838426	0.844112	76.396923	76.780000	
0.031723	0.835725	0.846227	76.433077	76.340000	
0.031218	0.827126	0.801227	76.747692	77.680000	
0.030709	0.822283	0.817917	76.778462	76.960000	
0.030198	0.816078	0.822103	77.011538	77.320000	
0.029685	0.819600	0.833158	76.895385	77.220000	
0.029170	0.807264	0.820953	77.143077	77.140000	
0.028653	0.802959	0.798169	77.324615	77.640000	
0.028134	0.788990	0.813963	77.671538	77.420000	
0.027614	0.786051	0.821032	77.666154	77.760000	
0.027092	0.781580	0.800157	77.847692	77.600000	
0.026570	0.768757	0.793003	78.136154	78.420000	
0.026047	0.770526	0.780559	78.148462	78.060000	
0.025524	0.764014	0.786907	78.367692	78.980000	
0.025001	0.752616	0.781179	78.619231	78.680000	
0.024477	0.745202	0.769104	78.863846	78.560000	
0.023954	0.741237	0.751252	78.868462	79.540000	
0.023431	0.728820	0.778761	79.218462	78.060000	
0.022909	0.739180	0.761953	78.986154	79.300000	
0.022387	0.721357	0.772247	79.503846	78.240000	
0.021867	0.716090	0.774959	79.515385	78.960000	
0.021348	0.705548	0.747928	79.825385	79.340000	
0.020831	0.703080	0.770136	80.012308	79.020000	
0.020316	0.696405	0.755860	80.035385	79.180000	
0.019803	0.693325	0.762716	80.130000	78.900000	
0.019292	0.682033	0.741807	80.408462	79.760000	
0.018783	0.680178	0.733324	80.622308	80.020000	
0.018278	0.671456	0.728426	80.800000	80.380000	
0.017775	0.662763	0.746979	80.992308	79.580000	
0.017275	0.650027	0.732739	81.276154	80.400000	
0.016779	0.648916	0.727971	81.443846	80.280000	
0.016286	0.642947	0.724438	81.558462	80.100000	
0.015797	0.630645	0.728950	81.826154	79.900000	
0.015313	0.623953	0.710702	81.992308	80.680000	
0.014832	0.625315	0.706889	82.087692	80.680000	
0.014356	0.611063	0.721402	82.396923	80.800000	
0.013885	0.601490	0.711560	82.651538	80.800000	
0.013418	0.599570	0.692818	82.681538	81.880000	
0.012957	0.589310	0.717710	82.942308	80.560000	
0.012500	0.580080	0.709531	83.300000	80.580000	
0.012050	0.573804	0.723953	83.360000	80.260000	
0.011605	0.566736	0.687652	83.798462	81.520000	
0.011166	0.556984	0.696324	83.936923	81.380000	
0.010733	0.545077	0.704213	84.208462	80.600000	
0.010306	0.545773	0.687605	84.177692	81.560000	
0.009885	0.533632	0.705255	84.616923	80.920000	
0.009472	0.526584	0.710093	84.727692	80.960000	
0.009065	0.516242	0.680569	85.076154	81.880000	
0.008665	0.509289	0.699715	85.275385	81.640000	
0.008272	0.500928	0.700356	85.470769	81.220000	
0.007887	0.492388	0.686941	85.622308	81.720000	
0.007509	0.484265	0.690615	86.007692	81.440000	
0.007139	0.483221	0.696185	86.022308	81.400000	
0.006776	0.470319	0.686732	86.373846	81.480000	
0.006422	0.467216	0.676651	86.488462	82.020000	
0.006075	0.451758	0.679382	86.905385	82.300000	
0.005737	0.453407	0.696710	86.864615	81.440000	
0.005408	0.438810	0.693766	87.301538	81.960000	
0.005087	0.430145	0.685640	87.528462	82.100000	
0.004775	0.423028	0.683947	87.722308	81.960000	
0.004472	0.419173	0.682466	87.848462	82.360000	
0.004177	0.415162	0.688423	87.914615	81.660000	
0.003892	0.406685	0.672447	88.396923	82.180000	
0.003616	0.398021	0.665275	88.562308	82.400000	
0.003350	0.394774	0.673245	88.670769	82.320000	
0.003093	0.381580	0.669535	89.014615	82.580000	
0.002845	0.384211	0.685893	89.002308	82.540000	
0.002607	0.374581	0.676236	89.264615	82.120000	
0.002380	0.370750	0.668185	89.406154	82.600000	
0.002162	0.365505	0.680236	89.596154	82.320000	
0.001954	0.355524	0.681198	89.840000	82.460000	
0.001756	0.357086	0.673793	89.840769	82.560000	
0.001568	0.347427	0.677933	90.108462	82.680000	
0.001391	0.346375	0.673032	90.056923	82.500000	
0.001224	0.342966	0.675165	90.276923	82.560000	
0.001067	0.342300	0.669969	90.332308	82.620000	
0.000921	0.331308	0.669959	90.621538	82.660000	
0.000786	0.326641	0.670240	90.678462	82.700000	
0.000661	0.328236	0.673613	90.812308	82.580000	
0.000546	0.325694	0.670195	90.788462	82.620000	
0.000443	0.324869	0.670732	90.823846	82.700000	
0.000350	0.319002	0.671996	91.024615	82.780000	
0.000268	0.317746	0.667768	91.023077	82.880000	
0.000197	0.315070	0.673337	91.059231	83.020000	
0.000137	0.315909	0.676501	91.115385	82.800000	
0.000088	0.316910	0.670018	91.114615	82.940000	
0.000049	0.315766	0.669680	91.113077	82.860000	
0.000022	0.313332	0.673411	91.187692	83.060000	
0.000005	0.310581	0.672569	91.293846	82.800000	
0.000000	0.313612	0.672544	91.181538	83.040000	
