Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049995	3.748539	3.386788	12.719231	18.760000	
0.049978	2.933073	2.594851	27.288462	33.640000	
0.049951	2.531641	2.360388	35.795385	39.280000	
0.049912	2.242732	2.207402	42.329231	43.880000	
0.049863	2.047465	1.916591	46.652308	49.360000	
0.049803	1.895847	1.733191	50.181538	54.000000	
0.049732	1.774328	1.893583	53.113077	50.980000	
0.049650	1.684801	1.573292	55.089231	57.980000	
0.049557	1.604552	1.516700	57.190769	59.660000	
0.049454	1.536541	1.434880	58.942308	62.040000	
0.049340	1.484880	1.442655	60.096923	60.680000	
0.049215	1.437248	1.363200	61.178462	62.940000	
0.049079	1.396115	1.356742	62.209231	63.340000	
0.048933	1.365648	1.281816	62.886154	65.300000	
0.048777	1.326237	1.248331	63.946923	66.780000	
0.048610	1.305241	1.214849	64.442308	67.180000	
0.048432	1.280416	1.166180	65.108462	68.160000	
0.048245	1.257928	1.157412	65.586154	67.920000	
0.048047	1.237526	1.171303	66.216923	68.240000	
0.047839	1.224193	1.227055	66.546923	66.260000	
0.047621	1.214084	1.113338	66.893846	69.540000	
0.047393	1.183494	1.180873	67.452308	68.260000	
0.047155	1.181679	1.125815	67.571538	69.360000	
0.046908	1.163060	1.098463	68.010000	69.880000	
0.046651	1.155016	1.120666	68.376154	69.680000	
0.046384	1.144495	1.099431	68.557692	69.920000	
0.046108	1.140834	1.067689	68.608462	70.900000	
0.045823	1.127287	1.070273	68.961538	70.660000	
0.045529	1.125367	1.105274	69.020000	70.660000	
0.045226	1.109572	1.084121	69.418462	70.440000	
0.044914	1.098969	1.045140	69.588462	71.180000	
0.044593	1.094713	1.071707	69.797692	70.900000	
0.044263	1.090118	1.054209	69.898462	71.000000	
0.043925	1.084904	1.018088	70.063846	72.120000	
0.043579	1.076807	1.061859	70.198462	70.780000	
0.043225	1.068272	1.079119	70.494615	70.360000	
0.042862	1.060259	0.987296	70.526154	72.280000	
0.042492	1.056452	1.006214	70.661538	72.680000	
0.042114	1.046218	0.990910	71.103846	73.260000	
0.041729	1.041503	1.018488	71.150000	72.300000	
0.041336	1.038256	0.952258	71.270000	73.600000	
0.040936	1.029033	0.980533	71.491538	73.200000	
0.040529	1.017932	0.952704	71.724615	73.420000	
0.040115	1.014660	0.943800	71.797692	74.080000	
0.039695	1.006101	0.987460	71.926923	72.600000	
0.039268	0.999812	0.959690	72.203077	73.960000	
0.038835	0.993705	0.935932	72.400000	74.320000	
0.038396	0.984808	0.952917	72.656154	73.380000	
0.037951	0.982621	0.949058	72.624615	74.240000	
0.037500	0.981171	0.943245	72.620769	74.340000	
0.037044	0.976958	0.941754	72.758462	74.140000	
0.036583	0.964280	0.940565	73.077692	74.120000	
