Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049995	3.615844	2.958959	15.380000	26.720000	
0.049978	2.786874	2.390309	30.696923	39.240000	
0.049951	2.369997	2.070751	39.539231	46.240000	
0.049912	2.110912	1.880756	45.460000	50.480000	
0.049863	1.930146	1.822078	49.470769	51.080000	
0.049803	1.798218	1.650785	52.480000	55.920000	
0.049732	1.687515	1.573205	55.132308	57.820000	
0.049650	1.597934	1.456692	57.395385	61.280000	
0.049557	1.523859	1.407850	59.119231	61.700000	
0.049454	1.467788	1.333303	60.548462	63.580000	
0.049340	1.417714	1.294987	61.836154	64.180000	
0.049215	1.374009	1.246810	62.735385	65.220000	
0.049079	1.333067	1.238614	63.936154	66.260000	
0.048933	1.303255	1.207467	64.463846	67.260000	
0.048777	1.279786	1.203939	65.092308	66.520000	
0.048610	1.252900	1.165550	65.939231	67.960000	
0.048432	1.234445	1.149486	66.191538	69.640000	
0.048245	1.213061	1.118893	66.622308	69.420000	
0.048047	1.199733	1.141908	67.181538	68.540000	
0.047839	1.185179	1.134217	67.486923	69.620000	
0.047621	1.164612	1.093381	68.064615	69.860000	
0.047393	1.156477	1.100307	68.309231	69.200000	
0.047155	1.148343	1.086300	68.256923	69.860000	
0.046908	1.130568	1.067191	68.769231	70.360000	
0.046651	1.123616	1.073739	69.085385	69.980000	
0.046384	1.112702	1.087048	69.229231	70.900000	
0.046108	1.098439	1.076988	69.760769	70.060000	
0.045823	1.091286	1.035081	69.793846	71.520000	
0.045529	1.082406	1.025258	70.052308	71.700000	
0.045226	1.083506	1.051494	69.933077	70.940000	
0.044914	1.066473	1.013521	70.508462	71.680000	
0.044593	1.064980	1.024268	70.484615	72.120000	
0.044263	1.058533	1.021497	70.711538	71.720000	
0.043925	1.047782	0.998534	70.955385	73.100000	
0.043579	1.042564	1.008361	71.106923	72.380000	
0.043225	1.031948	0.982057	71.312308	72.460000	
0.042862	1.026424	1.017761	71.498462	72.640000	
0.042492	1.020127	0.949164	71.755385	73.860000	
0.042114	1.011052	0.983864	72.002308	72.820000	
0.041729	1.010137	0.966554	71.891538	73.720000	
0.041336	1.000030	0.955177	72.233846	73.720000	
0.040936	0.996290	0.930489	72.309231	73.960000	
0.040529	0.994007	0.953684	72.397692	74.060000	
0.040115	0.983047	0.931077	72.632308	74.400000	
0.039695	0.982899	0.948870	72.584615	74.520000	
0.039268	0.976597	0.930961	72.800769	74.380000	
0.038835	0.963907	0.931209	73.142308	74.080000	
0.038396	0.965390	0.976671	73.020000	72.760000	
0.037951	0.954471	0.922123	73.308462	74.580000	
0.037500	0.950915	0.914980	73.403846	74.760000	
0.037044	0.949929	0.908195	73.370769	74.740000	
0.036583	0.934222	0.915117	73.860000	74.580000	
0.036116	0.933232	0.913046	73.932308	74.740000	
0.035645	0.929117	0.897973	73.920000	74.540000	
0.035169	0.914330	0.919195	74.425385	73.760000	
0.034688	0.918656	0.911987	74.289231	74.940000	
0.034204	0.910642	0.884235	74.520769	75.480000	
0.033715	0.906897	0.880969	74.585385	75.580000	
0.033222	0.904576	0.864539	74.471538	76.340000	
0.032726	0.892113	0.862515	75.045385	76.340000	
0.032226	0.886277	0.877384	75.106154	75.420000	
0.031723	0.882764	0.882752	75.182308	75.420000	
