Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049995	3.673076	3.225809	14.284615	21.720000	
0.049978	2.846752	2.662247	29.363846	33.880000	
0.049951	2.427087	2.162011	38.142308	43.680000	
0.049912	2.158889	1.981716	44.287692	48.720000	
0.049863	1.974082	1.841042	48.482308	51.320000	
0.049803	1.826253	1.741176	52.053077	54.020000	
0.049732	1.716287	1.609938	54.645385	57.020000	
0.049650	1.628840	1.560687	56.696923	58.760000	
0.049557	1.554183	1.525337	58.538462	58.980000	
0.049454	1.496765	1.409755	59.733077	62.320000	
0.049340	1.432896	1.359792	61.166923	63.200000	
0.049215	1.386304	1.335559	62.593077	63.960000	
0.049079	1.347188	1.337766	63.503077	64.600000	
0.048933	1.309857	1.232252	64.398462	66.580000	
0.048777	1.277368	1.310924	65.186154	64.780000	
0.048610	1.253226	1.205937	65.868462	67.340000	
0.048432	1.231655	1.174457	66.413846	68.200000	
0.048245	1.206575	1.165441	67.113846	68.620000	
0.048047	1.187943	1.161727	67.341538	68.600000	
0.047839	1.171874	1.155433	67.802308	68.660000	
0.047621	1.151811	1.136244	68.475385	69.080000	
0.047393	1.141276	1.116646	68.539231	70.160000	
0.047155	1.125049	1.120907	68.977692	70.360000	
0.046908	1.115266	1.087302	69.305385	70.840000	
0.046651	1.108242	1.044167	69.426154	71.440000	
0.046384	1.101117	1.128256	69.626923	69.100000	
0.046108	1.093169	1.067592	69.913846	70.080000	
0.045823	1.078483	1.015013	70.096923	72.480000	
0.045529	1.071173	1.057834	70.270769	71.420000	
0.045226	1.066507	1.019465	70.518462	72.060000	
0.044914	1.054745	1.044644	70.909231	71.760000	
0.044593	1.046516	1.017203	71.073846	72.480000	
0.044263	1.035968	1.002010	71.329231	72.800000	
0.043925	1.026662	0.969797	71.520000	72.760000	
0.043579	1.022466	0.965462	71.621538	73.220000	
0.043225	1.016820	0.941420	71.724615	73.740000	
0.042862	1.013955	0.952500	71.844615	74.200000	
0.042492	1.002993	0.976946	72.123846	73.180000	
0.042114	0.996363	0.983064	72.191538	73.400000	
0.041729	0.994226	0.945478	72.309231	73.780000	
0.041336	0.985868	0.940189	72.533846	73.500000	
0.040936	0.978544	0.963112	72.694615	73.600000	
0.040529	0.980181	0.950207	72.567692	74.080000	
0.040115	0.971121	0.931766	72.832308	74.960000	
0.039695	0.962128	0.921910	73.150769	74.920000	
0.039268	0.963585	0.897251	73.078462	74.760000	
0.038835	0.944877	0.934639	73.635385	74.860000	
0.038396	0.952653	0.985302	73.308462	73.580000	
0.037951	0.941840	0.893293	73.733077	75.540000	
0.037500	0.939414	0.914615	73.598462	75.380000	
0.037044	0.932823	0.940377	73.861538	73.940000	
0.036583	0.925732	0.887434	74.126154	75.620000	
0.036116	0.916213	0.879739	74.411538	75.440000	
0.035645	0.913755	0.911134	74.326154	75.100000	
0.035169	0.910369	0.907715	74.466923	74.480000	
0.034688	0.900457	0.872620	74.854615	75.940000	
0.034204	0.893544	0.888517	74.908462	75.740000	
0.033715	0.887967	0.857466	74.949231	76.440000	
0.033222	0.883183	0.868430	75.273077	76.300000	
